date,week,month_key,quarter,year,is_weekend,is_holiday
2024-01-01,1,2024-01,Q1,2024,False,True
2024-01-02,1,2024-01,Q1,2024,False,False
2024-01-03,1,2024-01,Q1,2024,False,False
2024-01-04,1,2024-01,Q1,2024,False,False
2024-01-05,1,2024-01,Q1,2024,False,False
2024-01-06,1,2024-01,Q1,2024,True,False
2024-01-07,1,2024-01,Q1,2024,True,False
2024-01-08,2,2024-01,Q1,2024,False,False
2024-01-09,2,2024-01,Q1,2024,False,False
2024-01-10,2,2024-01,Q1,2024,False,False
2024-01-11,2,2024-01,Q1,2024,False,False
2024-01-12,2,2024-01,Q1,2024,False,False
2024-01-13,2,2024-01,Q1,2024,True,False
2024-01-14,2,2024-01,Q1,2024,True,False
2024-01-15,3,2024-01,Q1,2024,False,True
2024-01-16,3,2024-01,Q1,2024,False,False
2024-01-17,3,2024-01,Q1,2024,False,False
2024-01-18,3,2024-01,Q1,2024,False,False
2024-01-19,3,2024-01,Q1,2024,False,False
2024-01-20,3,2024-01,Q1,2024,True,False
2024-01-21,3,2024-01,Q1,2024,True,False
2024-01-22,4,2024-01,Q1,2024,False,False
2024-01-23,4,2024-01,Q1,2024,False,False
2024-01-24,4,2024-01,Q1,2024,False,False
2024-01-25,4,2024-01,Q1,2024,False,False
2024-01-26,4,2024-01,Q1,2024,False,False
2024-01-27,4,2024-01,Q1,2024,True,False
2024-01-28,4,2024-01,Q1,2024,True,False
2024-01-29,5,2024-01,Q1,2024,False,False
2024-01-30,5,2024-01,Q1,2024,False,False
2024-01-31,5,2024-01,Q1,2024,False,False
2024-02-01,5,2024-02,Q1,2024,False,False
2024-02-02,5,2024-02,Q1,2024,False,False
2024-02-03,5,2024-02,Q1,2024,True,False
2024-02-04,5,2024-02,Q1,2024,True,False
2024-02-05,6,2024-02,Q1,2024,False,False
2024-02-06,6,2024-02,Q1,2024,False,False
2024-02-07,6,2024-02,Q1,2024,False,False
2024-02-08,6,2024-02,Q1,2024,False,False
2024-02-09,6,2024-02,Q1,2024,False,False
2024-02-10,6,2024-02,Q1,2024,True,False
2024-02-11,6,2024-02,Q1,2024,True,False
2024-02-12,7,2024-02,Q1,2024,False,False
2024-02-13,7,2024-02,Q1,2024,False,False
2024-02-14,7,2024-02,Q1,2024,False,False
2024-02-15,7,2024-02,Q1,2024,False,False
2024-02-16,7,2024-02,Q1,2024,False,False
2024-02-17,7,2024-02,Q1,2024,True,False
2024-02-18,7,2024-02,Q1,2024,True,False
2024-02-19,8,2024-02,Q1,2024,False,True
2024-02-20,8,2024-02,Q1,2024,False,False
2024-02-21,8,2024-02,Q1,2024,False,False
2024-02-22,8,2024-02,Q1,2024,False,False
2024-02-23,8,2024-02,Q1,2024,False,False
2024-02-24,8,2024-02,Q1,2024,True,False
2024-02-25,8,2024-02,Q1,2024,True,False
2024-02-26,9,2024-02,Q1,2024,False,False
2024-02-27,9,2024-02,Q1,2024,False,False
2024-02-28,9,2024-02,Q1,2024,False,False
2024-02-29,9,2024-02,Q1,2024,False,False
2024-03-01,9,2024-03,Q1,2024,False,False
2024-03-02,9,2024-03,Q1,2024,True,False
2024-03-03,9,2024-03,Q1,2024,True,False
2024-03-04,10,2024-03,Q1,2024,False,False
2024-03-05,10,2024-03,Q1,2024,False,False
2024-03-06,10,2024-03,Q1,2024,False,False
2024-03-07,10,2024-03,Q1,2024,False,False
2024-03-08,10,2024-03,Q1,2024,False,False
2024-03-09,10,2024-03,Q1,2024,True,False
2024-03-10,10,2024-03,Q1,2024,True,False
2024-03-11,11,2024-03,Q1,2024,False,False
2024-03-12,11,2024-03,Q1,2024,False,False
2024-03-13,11,2024-03,Q1,2024,False,False
2024-03-14,11,2024-03,Q1,2024,False,False
2024-03-15,11,2024-03,Q1,2024,False,False
2024-03-16,11,2024-03,Q1,2024,True,False
2024-03-17,11,2024-03,Q1,2024,True,False
2024-03-18,12,2024-03,Q1,2024,False,False
2024-03-19,12,2024-03,Q1,2024,False,False
2024-03-20,12,2024-03,Q1,2024,False,False
2024-03-21,12,2024-03,Q1,2024,False,False
2024-03-22,12,2024-03,Q1,2024,False,False
2024-03-23,12,2024-03,Q1,2024,True,False
2024-03-24,12,2024-03,Q1,2024,True,False
2024-03-25,13,2024-03,Q1,2024,False,False
2024-03-26,13,2024-03,Q1,2024,False,False
2024-03-27,13,2024-03,Q1,2024,False,False
2024-03-28,13,2024-03,Q1,2024,False,False
2024-03-29,13,2024-03,Q1,2024,False,False
2024-03-30,13,2024-03,Q1,2024,True,False
2024-03-31,13,2024-03,Q1,2024,True,False
2024-04-01,14,2024-04,Q2,2024,False,False
2024-04-02,14,2024-04,Q2,2024,False,False
2024-04-03,14,2024-04,Q2,2024,False,False
2024-04-04,14,2024-04,Q2,2024,False,False
2024-04-05,14,2024-04,Q2,2024,False,False
2024-04-06,14,2024-04,Q2,2024,True,False
2024-04-07,14,2024-04,Q2,2024,True,False
2024-04-08,15,2024-04,Q2,2024,False,False
2024-04-09,15,2024-04,Q2,2024,False,False
2024-04-10,15,2024-04,Q2,2024,False,False
2024-04-11,15,2024-04,Q2,2024,False,False
2024-04-12,15,2024-04,Q2,2024,False,False
2024-04-13,15,2024-04,Q2,2024,True,False
2024-04-14,15,2024-04,Q2,2024,True,False
2024-04-15,16,2024-04,Q2,2024,False,False
2024-04-16,16,2024-04,Q2,2024,False,False
2024-04-17,16,2024-04,Q2,2024,False,False
2024-04-18,16,2024-04,Q2,2024,False,False
2024-04-19,16,2024-04,Q2,2024,False,False
2024-04-20,16,2024-04,Q2,2024,True,False
2024-04-21,16,2024-04,Q2,2024,True,False
2024-04-22,17,2024-04,Q2,2024,False,False
2024-04-23,17,2024-04,Q2,2024,False,False
2024-04-24,17,2024-04,Q2,2024,False,False
2024-04-25,17,2024-04,Q2,2024,False,False
2024-04-26,17,2024-04,Q2,2024,False,False
2024-04-27,17,2024-04,Q2,2024,True,False
2024-04-28,17,2024-04,Q2,2024,True,False
2024-04-29,18,2024-04,Q2,2024,False,False
2024-04-30,18,2024-04,Q2,2024,False,False
2024-05-01,18,2024-05,Q2,2024,False,False
2024-05-02,18,2024-05,Q2,2024,False,False
2024-05-03,18,2024-05,Q2,2024,False,False
2024-05-04,18,2024-05,Q2,2024,True,False
2024-05-05,18,2024-05,Q2,2024,True,False
2024-05-06,19,2024-05,Q2,2024,False,False
2024-05-07,19,2024-05,Q2,2024,False,False
2024-05-08,19,2024-05,Q2,2024,False,False
2024-05-09,19,2024-05,Q2,2024,False,False
2024-05-10,19,2024-05,Q2,2024,False,False
2024-05-11,19,2024-05,Q2,2024,True,False
2024-05-12,19,2024-05,Q2,2024,True,False
2024-05-13,20,2024-05,Q2,2024,False,False
2024-05-14,20,2024-05,Q2,2024,False,False
2024-05-15,20,2024-05,Q2,2024,False,False
2024-05-16,20,2024-05,Q2,2024,False,False
2024-05-17,20,2024-05,Q2,2024,False,False
2024-05-18,20,2024-05,Q2,2024,True,False
2024-05-19,20,2024-05,Q2,2024,True,False
2024-05-20,21,2024-05,Q2,2024,False,False
2024-05-21,21,2024-05,Q2,2024,False,False
2024-05-22,21,2024-05,Q2,2024,False,False
2024-05-23,21,2024-05,Q2,2024,False,False
2024-05-24,21,2024-05,Q2,2024,False,False
2024-05-25,21,2024-05,Q2,2024,True,False
2024-05-26,21,2024-05,Q2,2024,True,False
2024-05-27,22,2024-05,Q2,2024,False,True
2024-05-28,22,2024-05,Q2,2024,False,False
2024-05-29,22,2024-05,Q2,2024,False,False
2024-05-30,22,2024-05,Q2,2024,False,False
2024-05-31,22,2024-05,Q2,2024,False,False
2024-06-01,22,2024-06,Q2,2024,True,False
2024-06-02,22,2024-06,Q2,2024,True,False
2024-06-03,23,2024-06,Q2,2024,False,False
2024-06-04,23,2024-06,Q2,2024,False,False
2024-06-05,23,2024-06,Q2,2024,False,False
2024-06-06,23,2024-06,Q2,2024,False,False
2024-06-07,23,2024-06,Q2,2024,False,False
2024-06-08,23,2024-06,Q2,2024,True,False
2024-06-09,23,2024-06,Q2,2024,True,False
2024-06-10,24,2024-06,Q2,2024,False,False
2024-06-11,24,2024-06,Q2,2024,False,False
2024-06-12,24,2024-06,Q2,2024,False,False
2024-06-13,24,2024-06,Q2,2024,False,False
2024-06-14,24,2024-06,Q2,2024,False,False
2024-06-15,24,2024-06,Q2,2024,True,False
2024-06-16,24,2024-06,Q2,2024,True,False
2024-06-17,25,2024-06,Q2,2024,False,False
2024-06-18,25,2024-06,Q2,2024,False,False
2024-06-19,25,2024-06,Q2,2024,False,False
2024-06-20,25,2024-06,Q2,2024,False,False
2024-06-21,25,2024-06,Q2,2024,False,False
2024-06-22,25,2024-06,Q2,2024,True,False
2024-06-23,25,2024-06,Q2,2024,True,False
2024-06-24,26,2024-06,Q2,2024,False,False
2024-06-25,26,2024-06,Q2,2024,False,False
2024-06-26,26,2024-06,Q2,2024,False,False
2024-06-27,26,2024-06,Q2,2024,False,False
2024-06-28,26,2024-06,Q2,2024,False,False
2024-06-29,26,2024-06,Q2,2024,True,False
2024-06-30,26,2024-06,Q2,2024,True,False
2024-07-01,27,2024-07,Q3,2024,False,False
2024-07-02,27,2024-07,Q3,2024,False,False
2024-07-03,27,2024-07,Q3,2024,False,False
2024-07-04,27,2024-07,Q3,2024,False,True
2024-07-05,27,2024-07,Q3,2024,False,False
2024-07-06,27,2024-07,Q3,2024,True,False
2024-07-07,27,2024-07,Q3,2024,True,False
2024-07-08,28,2024-07,Q3,2024,False,False
2024-07-09,28,2024-07,Q3,2024,False,False
2024-07-10,28,2024-07,Q3,2024,False,False
2024-07-11,28,2024-07,Q3,2024,False,False
2024-07-12,28,2024-07,Q3,2024,False,False
2024-07-13,28,2024-07,Q3,2024,True,False
2024-07-14,28,2024-07,Q3,2024,True,False
2024-07-15,29,2024-07,Q3,2024,False,False
2024-07-16,29,2024-07,Q3,2024,False,False
2024-07-17,29,2024-07,Q3,2024,False,False
2024-07-18,29,2024-07,Q3,2024,False,False
2024-07-19,29,2024-07,Q3,2024,False,False
2024-07-20,29,2024-07,Q3,2024,True,False
2024-07-21,29,2024-07,Q3,2024,True,False
2024-07-22,30,2024-07,Q3,2024,False,False
2024-07-23,30,2024-07,Q3,2024,False,False
2024-07-24,30,2024-07,Q3,2024,False,False
2024-07-25,30,2024-07,Q3,2024,False,False
2024-07-26,30,2024-07,Q3,2024,False,False
2024-07-27,30,2024-07,Q3,2024,True,False
2024-07-28,30,2024-07,Q3,2024,True,False
2024-07-29,31,2024-07,Q3,2024,False,False
2024-07-30,31,2024-07,Q3,2024,False,False
2024-07-31,31,2024-07,Q3,2024,False,False
2024-08-01,31,2024-08,Q3,2024,False,False
2024-08-02,31,2024-08,Q3,2024,False,False
2024-08-03,31,2024-08,Q3,2024,True,False
2024-08-04,31,2024-08,Q3,2024,True,False
2024-08-05,32,2024-08,Q3,2024,False,False
2024-08-06,32,2024-08,Q3,2024,False,False
2024-08-07,32,2024-08,Q3,2024,False,False
2024-08-08,32,2024-08,Q3,2024,False,False
2024-08-09,32,2024-08,Q3,2024,False,False
2024-08-10,32,2024-08,Q3,2024,True,False
2024-08-11,32,2024-08,Q3,2024,True,False
2024-08-12,33,2024-08,Q3,2024,False,False
2024-08-13,33,2024-08,Q3,2024,False,False
2024-08-14,33,2024-08,Q3,2024,False,False
2024-08-15,33,2024-08,Q3,2024,False,False
2024-08-16,33,2024-08,Q3,2024,False,False
2024-08-17,33,2024-08,Q3,2024,True,False
2024-08-18,33,2024-08,Q3,2024,True,False
2024-08-19,34,2024-08,Q3,2024,False,False
2024-08-20,34,2024-08,Q3,2024,False,False
2024-08-21,34,2024-08,Q3,2024,False,False
2024-08-22,34,2024-08,Q3,2024,False,False
2024-08-23,34,2024-08,Q3,2024,False,False
2024-08-24,34,2024-08,Q3,2024,True,False
2024-08-25,34,2024-08,Q3,2024,True,False
2024-08-26,35,2024-08,Q3,2024,False,False
2024-08-27,35,2024-08,Q3,2024,False,False
2024-08-28,35,2024-08,Q3,2024,False,False
2024-08-29,35,2024-08,Q3,2024,False,False
2024-08-30,35,2024-08,Q3,2024,False,False
2024-08-31,35,2024-08,Q3,2024,True,False
2024-09-01,35,2024-09,Q3,2024,True,False
2024-09-02,36,2024-09,Q3,2024,False,True
2024-09-03,36,2024-09,Q3,2024,False,False
2024-09-04,36,2024-09,Q3,2024,False,False
2024-09-05,36,2024-09,Q3,2024,False,False
2024-09-06,36,2024-09,Q3,2024,False,False
2024-09-07,36,2024-09,Q3,2024,True,False
2024-09-08,36,2024-09,Q3,2024,True,False
2024-09-09,37,2024-09,Q3,2024,False,False
2024-09-10,37,2024-09,Q3,2024,False,False
2024-09-11,37,2024-09,Q3,2024,False,False
2024-09-12,37,2024-09,Q3,2024,False,False
2024-09-13,37,2024-09,Q3,2024,False,False
2024-09-14,37,2024-09,Q3,2024,True,False
2024-09-15,37,2024-09,Q3,2024,True,False
2024-09-16,38,2024-09,Q3,2024,False,False
2024-09-17,38,2024-09,Q3,2024,False,False
2024-09-18,38,2024-09,Q3,2024,False,False
2024-09-19,38,2024-09,Q3,2024,False,False
2024-09-20,38,2024-09,Q3,2024,False,False
2024-09-21,38,2024-09,Q3,2024,True,False
2024-09-22,38,2024-09,Q3,2024,True,False
2024-09-23,39,2024-09,Q3,2024,False,False
2024-09-24,39,2024-09,Q3,2024,False,False
2024-09-25,39,2024-09,Q3,2024,False,False
2024-09-26,39,2024-09,Q3,2024,False,False
2024-09-27,39,2024-09,Q3,2024,False,False
2024-09-28,39,2024-09,Q3,2024,True,False
2024-09-29,39,2024-09,Q3,2024,True,False
2024-09-30,40,2024-09,Q3,2024,False,False
2024-10-01,40,2024-10,Q4,2024,False,False
2024-10-02,40,2024-10,Q4,2024,False,False
2024-10-03,40,2024-10,Q4,2024,False,False
2024-10-04,40,2024-10,Q4,2024,False,False
2024-10-05,40,2024-10,Q4,2024,True,False
2024-10-06,40,2024-10,Q4,2024,True,False
2024-10-07,41,2024-10,Q4,2024,False,False
2024-10-08,41,2024-10,Q4,2024,False,False
2024-10-09,41,2024-10,Q4,2024,False,False
2024-10-10,41,2024-10,Q4,2024,False,False
2024-10-11,41,2024-10,Q4,2024,False,False
2024-10-12,41,2024-10,Q4,2024,True,False
2024-10-13,41,2024-10,Q4,2024,True,False
2024-10-14,42,2024-10,Q4,2024,False,True
2024-10-15,42,2024-10,Q4,2024,False,False
2024-10-16,42,2024-10,Q4,2024,False,False
2024-10-17,42,2024-10,Q4,2024,False,False
2024-10-18,42,2024-10,Q4,2024,False,False
2024-10-19,42,2024-10,Q4,2024,True,False
2024-10-20,42,2024-10,Q4,2024,True,False
2024-10-21,43,2024-10,Q4,2024,False,False
2024-10-22,43,2024-10,Q4,2024,False,False
2024-10-23,43,2024-10,Q4,2024,False,False
2024-10-24,43,2024-10,Q4,2024,False,False
2024-10-25,43,2024-10,Q4,2024,False,False
2024-10-26,43,2024-10,Q4,2024,True,False
2024-10-27,43,2024-10,Q4,2024,True,False
2024-10-28,44,2024-10,Q4,2024,False,False
2024-10-29,44,2024-10,Q4,2024,False,False
2024-10-30,44,2024-10,Q4,2024,False,False
2024-10-31,44,2024-10,Q4,2024,False,False
2024-11-01,44,2024-11,Q4,2024,False,False
2024-11-02,44,2024-11,Q4,2024,True,False
2024-11-03,44,2024-11,Q4,2024,True,False
2024-11-04,45,2024-11,Q4,2024,False,False
2024-11-05,45,2024-11,Q4,2024,False,False
2024-11-06,45,2024-11,Q4,2024,False,False
2024-11-07,45,2024-11,Q4,2024,False,False
2024-11-08,45,2024-11,Q4,2024,False,False
2024-11-09,45,2024-11,Q4,2024,True,False
2024-11-10,45,2024-11,Q4,2024,True,False
2024-11-11,46,2024-11,Q4,2024,False,True
2024-11-12,46,2024-11,Q4,2024,False,False
2024-11-13,46,2024-11,Q4,2024,False,False
2024-11-14,46,2024-11,Q4,2024,False,False
2024-11-15,46,2024-11,Q4,2024,False,False
2024-11-16,46,2024-11,Q4,2024,True,False
2024-11-17,46,2024-11,Q4,2024,True,False
2024-11-18,47,2024-11,Q4,2024,False,False
2024-11-19,47,2024-11,Q4,2024,False,False
2024-11-20,47,2024-11,Q4,2024,False,False
2024-11-21,47,2024-11,Q4,2024,False,False
2024-11-22,47,2024-11,Q4,2024,False,False
2024-11-23,47,2024-11,Q4,2024,True,False
2024-11-24,47,2024-11,Q4,2024,True,False
2024-11-25,48,2024-11,Q4,2024,False,False
2024-11-26,48,2024-11,Q4,2024,False,False
2024-11-27,48,2024-11,Q4,2024,False,False
2024-11-28,48,2024-11,Q4,2024,False,True
2024-11-29,48,2024-11,Q4,2024,False,False
2024-11-30,48,2024-11,Q4,2024,True,False
2024-12-01,48,2024-12,Q4,2024,True,False
2024-12-02,49,2024-12,Q4,2024,False,False
2024-12-03,49,2024-12,Q4,2024,False,False
2024-12-04,49,2024-12,Q4,2024,False,False
2024-12-05,49,2024-12,Q4,2024,False,False
2024-12-06,49,2024-12,Q4,2024,False,False
2024-12-07,49,2024-12,Q4,2024,True,False
2024-12-08,49,2024-12,Q4,2024,True,False
2024-12-09,50,2024-12,Q4,2024,False,False
2024-12-10,50,2024-12,Q4,2024,False,False
2024-12-11,50,2024-12,Q4,2024,False,False
2024-12-12,50,2024-12,Q4,2024,False,False
2024-12-13,50,2024-12,Q4,2024,False,False
2024-12-14,50,2024-12,Q4,2024,True,False
2024-12-15,50,2024-12,Q4,2024,True,False
2024-12-16,51,2024-12,Q4,2024,False,False
2024-12-17,51,2024-12,Q4,2024,False,False
2024-12-18,51,2024-12,Q4,2024,False,False
2024-12-19,51,2024-12,Q4,2024,False,False
2024-12-20,51,2024-12,Q4,2024,False,False
2024-12-21,51,2024-12,Q4,2024,True,False
2024-12-22,51,2024-12,Q4,2024,True,False
2024-12-23,52,2024-12,Q4,2024,False,False
2024-12-24,52,2024-12,Q4,2024,False,False
2024-12-25,52,2024-12,Q4,2024,False,True
2024-12-26,52,2024-12,Q4,2024,False,False
2024-12-27,52,2024-12,Q4,2024,False,False
2024-12-28,52,2024-12,Q4,2024,True,False
2024-12-29,52,2024-12,Q4,2024,True,False
2024-12-30,1,2024-12,Q4,2024,False,False
2024-12-31,1,2024-12,Q4,2024,False,False
